"Profile","Role","RelativePath","SizeBytes","SHA256"
"debug","application-bin","build\b3.1\debug\sqd_firmware.bin","183008","E68610D7E360B61EE8174F200B6DF8EEF7401F9B12723A18A13230768E7C57F3"
"debug","application-elf","build\b3.1\debug\sqd_firmware.elf","3765988","1EA3BD6708C6CA58E91CA50AC6F7E7253E36E9C5B80FA41BE15CACFBD1084070"
"debug","flash-0x0","build\b3.1\debug\bootloader\bootloader.bin","27504","2BA2438611D9E01D9082777F8B1BC69C2ED3325851E6D31BA513E35ADC0D1E84"
"debug","flash-0x8000","build\b3.1\debug\partition_table\partition-table.bin","3072","7F00B6C042A89B15B0CAC534F82ED988CAF29278FF5700B0C511EB1B5BB7C820"
"debug","linker-map","build\b3.1\debug\sqd_firmware.map","3763013","8D465AC073C7C5F0CBD4A6EA327CF67A281A03048483942676907B705BF5A3C1"
"production","application-bin","build\b3.1\production\sqd_firmware.bin","124480","93BB72133C819A4217BD8867DA44AD51EE6C4331837C6B2501C88DE568FFEC0A"
"production","application-elf","build\b3.1\production\sqd_firmware.elf","3464196","5994E55CB4FAB8CCA7C2A6F854EEDD36CFDC7DE9C9A0B3961A406EA15E6EB1D0"
"production","flash-0x0","build\b3.1\production\bootloader\bootloader.bin","17776","9F6F3A337C40F8CCA1B17A8EC689DD77A270158594D07A55B04AB4CF97DB3F98"
"production","flash-0x8000","build\b3.1\production\partition_table\partition-table.bin","3072","7F00B6C042A89B15B0CAC534F82ED988CAF29278FF5700B0C511EB1B5BB7C820"
"production","linker-map","build\b3.1\production\sqd_firmware.map","3397034","5EE69A67342F4D2C11A99F011BC053EAB7E40487FE1DB9B4986255F34D409873"
"validation","application-bin","build\b3.1\validation\sqd_firmware.bin","160336","8D066D5DF0377C32C9FCFB518795849D350311B2921732098DA3FE118FF90A02"
"validation","application-elf","build\b3.1\validation\sqd_firmware.elf","3709744","CDF29DBC8E2AD4E19C1FC56487A0FA5C9254B3F8F16AA16614D343872FABCAF4"
"validation","flash-0x0","build\b3.1\validation\bootloader\bootloader.bin","21056","5B46870C59ABF3EE4D43E258B6A4A330ACE2E96B8C21864D8C7BCB7D513E9358"
"validation","flash-0x8000","build\b3.1\validation\partition_table\partition-table.bin","3072","7F00B6C042A89B15B0CAC534F82ED988CAF29278FF5700B0C511EB1B5BB7C820"
"validation","linker-map","build\b3.1\validation\sqd_firmware.map","3580245","E896BBF146F52DF3292CCECA7F0F529E9AD3A911C8FA63D5C6A45545C6CC4218"
