"RecordType","Name","Profile","Check","Expected","Actual","Pass"
"controlled-file","sdkconfig.defaults",,"canonical-sha256","DD39E8CA716B18264662C73913C545449A33195059E5103765BB6371FEF0DE4B","DD39E8CA716B18264662C73913C545449A33195059E5103765BB6371FEF0DE4B","True"
"controlled-file","sdkconfig.defaults.debug",,"canonical-sha256","C9E2A2443DE38C282DE07FB007277243D0CB594F707D71D1CC952DDFC7A90233","C9E2A2443DE38C282DE07FB007277243D0CB594F707D71D1CC952DDFC7A90233","True"
"controlled-file","sdkconfig.defaults.validation",,"canonical-sha256","CDCD4EECE98ACB5346966799B48128D6426F46F88319FCDF6FDFEF99EC535743","CDCD4EECE98ACB5346966799B48128D6426F46F88319FCDF6FDFEF99EC535743","True"
"controlled-file","sdkconfig.defaults.production",,"canonical-sha256","E8B76AEA0CD3772F2BA29EDFEF6F07C3F36DD086042E5A9A787C8AD5A7F6E099","E8B76AEA0CD3772F2BA29EDFEF6F07C3F36DD086042E5A9A787C8AD5A7F6E099","True"
"generated-sdkconfig","D:\OneDrive\SQD\build\b3.3\debug_config_drift\sdkconfig","debug","required-setting","CONFIG_IDF_TARGET=""esp32s3""","CONFIG_IDF_TARGET=""esp32s3""","True"
"generated-sdkconfig","D:\OneDrive\SQD\build\b3.3\debug_config_drift\sdkconfig","debug","required-setting","CONFIG_ESPTOOLPY_FLASHSIZE_8MB=y","CONFIG_ESPTOOLPY_FLASHSIZE_8MB=y","True"
"generated-sdkconfig","D:\OneDrive\SQD\build\b3.3\debug_config_drift\sdkconfig","debug","required-setting","CONFIG_ESPTOOLPY_FLASHSIZE=""8MB""","CONFIG_ESPTOOLPY_FLASHSIZE=""8MB""","True"
"generated-sdkconfig","D:\OneDrive\SQD\build\b3.3\debug_config_drift\sdkconfig","debug","required-setting","CONFIG_APP_REPRODUCIBLE_BUILD=y","CONFIG_APP_REPRODUCIBLE_BUILD=y","True"
"generated-sdkconfig","D:\OneDrive\SQD\build\b3.3\debug_config_drift\sdkconfig","debug","forbidden-setting","<not enabled>","<not enabled>","True"
"generated-sdkconfig","D:\OneDrive\SQD\build\b3.3\debug_config_drift\sdkconfig","debug","forbidden-setting","<not enabled>","<not enabled>","True"
"generated-sdkconfig","D:\OneDrive\SQD\build\b3.3\validation_config_drift\sdkconfig","validation","required-setting","CONFIG_IDF_TARGET=""esp32s3""","CONFIG_IDF_TARGET=""esp32s3""","True"
"generated-sdkconfig","D:\OneDrive\SQD\build\b3.3\validation_config_drift\sdkconfig","validation","required-setting","CONFIG_ESPTOOLPY_FLASHSIZE_8MB=y","CONFIG_ESPTOOLPY_FLASHSIZE_8MB=y","True"
"generated-sdkconfig","D:\OneDrive\SQD\build\b3.3\validation_config_drift\sdkconfig","validation","required-setting","CONFIG_ESPTOOLPY_FLASHSIZE=""8MB""","CONFIG_ESPTOOLPY_FLASHSIZE=""8MB""","True"
"generated-sdkconfig","D:\OneDrive\SQD\build\b3.3\validation_config_drift\sdkconfig","validation","required-setting","CONFIG_APP_REPRODUCIBLE_BUILD=y","CONFIG_APP_REPRODUCIBLE_BUILD=y","True"
"generated-sdkconfig","D:\OneDrive\SQD\build\b3.3\validation_config_drift\sdkconfig","validation","forbidden-setting","<not enabled>","<not enabled>","True"
"generated-sdkconfig","D:\OneDrive\SQD\build\b3.3\validation_config_drift\sdkconfig","validation","forbidden-setting","<not enabled>","<not enabled>","True"
"generated-sdkconfig","D:\OneDrive\SQD\build\b3.3\production_config_drift\sdkconfig","production","required-setting","CONFIG_IDF_TARGET=""esp32s3""","CONFIG_IDF_TARGET=""esp32s3""","True"
"generated-sdkconfig","D:\OneDrive\SQD\build\b3.3\production_config_drift\sdkconfig","production","required-setting","CONFIG_ESPTOOLPY_FLASHSIZE_8MB=y","CONFIG_ESPTOOLPY_FLASHSIZE_8MB=y","True"
"generated-sdkconfig","D:\OneDrive\SQD\build\b3.3\production_config_drift\sdkconfig","production","required-setting","CONFIG_ESPTOOLPY_FLASHSIZE=""8MB""","CONFIG_ESPTOOLPY_FLASHSIZE=""8MB""","True"
"generated-sdkconfig","D:\OneDrive\SQD\build\b3.3\production_config_drift\sdkconfig","production","required-setting","CONFIG_APP_REPRODUCIBLE_BUILD=y","CONFIG_APP_REPRODUCIBLE_BUILD=y","True"
"generated-sdkconfig","D:\OneDrive\SQD\build\b3.3\production_config_drift\sdkconfig","production","forbidden-setting","<not enabled>","<not enabled>","True"
"generated-sdkconfig","D:\OneDrive\SQD\build\b3.3\production_config_drift\sdkconfig","production","forbidden-setting","<not enabled>","<not enabled>","True"
